field,type,example
timestamp,date,2016-05-23T08:05:34.853Z
labels,object,"{""application"": ""foo-bar"", ""env"": ""production""}"
message,match_only_text,Hello World
tags,keyword,"[""production"", ""env2""]"
agent_build_original,keyword,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]"
agent_ephemeral_id,keyword,8a4f500f
agent_id,keyword,8a4f500d
agent_name,keyword,foo
agent_type,keyword,filebeat
agent_version,keyword,6.0.0-rc2
client_address,keyword,
client_as_number,long,15169
client_as_organization_name,keyword,Google LLC
client_as_organization_name_text,match_only_text,Google LLC
client_bytes,long,184
client_domain,keyword,foo.example.com
client_geo_city_name,keyword,Montreal
client_geo_continent_code,keyword,
client_geo_continent_name,keyword,North America
client_geo_country_iso_code,keyword,CA
client_geo_country_name,keyword,Canada
client_geo_location,geo_point,"{ ""lon"": -73.614830, ""lat"": 45.505918 }"
client_geo_name,keyword,boston-dc
client_geo_postal_code,keyword,94040
client_geo_region_iso_code,keyword,CA-QC
client_geo_region_name,keyword,Quebec
client_geo_timezone,keyword,America/Argentina/Buenos_Aires
client_ip,ip,
client_mac,keyword,00-00-5E-00-53-23
client_nat_ip,ip,
client_nat_port,long,
client_packets,long,12
client_port,long,
client_registered_domain,keyword,example.com
client_subdomain,keyword,east
client_top_level_domain,keyword,co.uk
client_user_domain,keyword,
client_user_email,keyword,
client_user_full_name,keyword,Albert Einstein
client_user_full_name_text,match_only_text,Albert Einstein
client_user_group_domain,keyword,
client_user_group_id,keyword,
client_user_group_name,keyword,
client_user_hash,keyword,
client_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
client_user_name,keyword,a.einstein
client_user_name_text,match_only_text,a.einstein
client_user_roles,keyword,"[""kibana_admin"", ""reporting_user""]"
cloud_account_id,keyword,666777888999
cloud_account_name,keyword,binaryflux-dev
cloud_availability_zone,keyword,us-east-1c
cloud_instance_id,keyword,i-1234567890abcdef0
cloud_instance_name,keyword,
cloud_machine_type,keyword,t2.medium
cloud_origin_account_id,keyword,666777888999
cloud_origin_account_name,keyword,binaryflux-dev
cloud_origin_availability_zone,keyword,us-east-1c
cloud_origin_instance_id,keyword,i-1234567890abcdef0
cloud_origin_instance_name,keyword,
cloud_origin_machine_type,keyword,t2.medium
cloud_origin_project_id,keyword,my-project
cloud_origin_project_name,keyword,my project
cloud_origin_provider,keyword,aws
cloud_origin_region,keyword,us-east-1
cloud_origin_service_name,keyword,lambda
cloud_project_id,keyword,my-project
cloud_project_name,keyword,my project
cloud_provider,keyword,aws
cloud_region,keyword,us-east-1
cloud_service_name,keyword,lambda
cloud_target_account_id,keyword,666777888999
cloud_target_account_name,keyword,binaryflux-dev
cloud_target_availability_zone,keyword,us-east-1c
cloud_target_instance_id,keyword,i-1234567890abcdef0
cloud_target_instance_name,keyword,
cloud_target_machine_type,keyword,t2.medium
cloud_target_project_id,keyword,my-project
cloud_target_project_name,keyword,my project
cloud_target_provider,keyword,aws
cloud_target_region,keyword,us-east-1
cloud_target_service_name,keyword,lambda
container_cpu_usage,scaled_float,
container_disk_read_bytes,long,
container_disk_write_bytes,long,
container_id,keyword,
container_image_hash_all,keyword,[sha256:f8fefc80e3273dc756f288a63945820d6476ad64883892c771b5e2ece6bf1b26]
container_image_name,keyword,
container_image_tag,keyword,
container_labels,object,
container_memory_usage,scaled_float,
container_name,keyword,
container_network_egress_bytes,long,
container_network_ingress_bytes,long,
container_runtime,keyword,docker
container_security_context_privileged,boolean,
data_stream_dataset,constant_keyword,nginx.access
data_stream_namespace,constant_keyword,production
data_stream_type,constant_keyword,logs
destination_address,keyword,
destination_as_number,long,15169
destination_as_organization_name,keyword,Google LLC
